downstream,upstream,gage
15612418,15612400,04197100
18354205,18354249,09210500
6083557,6083547,01142500
10025778,10025746,09404450
20453830,20454522,09505350
5781417,5781401,08158810
23004327,23004329,12414500
13802764,13802760,05584500
10300593,10302627,03300400
1326129,1326465,09081600
4505596,4505612,01638480
24285532,24285534,12056500
16918194,16918210,02300700
6163201,6162981,01123000
8242340,8242324,11523200
6087,3923,01030500
23838566,23838568,12043000
21919751,21919761,07362587
11654354,11654346,06464500
23123725,23123433,13011500
18927902,18928208,07375000
2323410,2323442,02372250
7875850,7875852,08190500
7879518,7880800,10023000
6908085,6908097,03173000
16837126,16837082,02298608
397456,399452,07195800
2828006,2828008,11274500
3247588,3247552,01350140
1748585,1748595,01413500
6460665,6460293,02350900
3775049,3775115,03066000
20487062,20487232,09494000
12069362,8020924,11383500
3272708,3272748,09378170
18578815,18578805,02450250
4147366,4147360,01434025
8991864,8992044,04122500
18450629,18450627,03366500
11930608,11930624,04040500
9211186,9210448,02128000
17864266,17863078,08271000
8648006,8648050,02064000
9370706,9370700,06479215
8520765,8520617,02011400
9250818,9250828,02111500
21860182,21860164,06352000
5781269,5781265,08155200
24432661,24433231,13018300
23759450,23759964,14154500
8392902,8392898,01487000
24255217,24255219,12175500
5348817,5348813,06311000
23763159,23765449,14166500
6442684,6442680,02349900
8525401,8525659,02017500
9407516,9407484,01491000
7359833,7359785,06917000
11916237,11915443,05454000
15547875,15547935,04224775
8320013,8320019,11480390
8193701,8193647,11141280
16955674,16955672,02310947
9420705,9420683,01510000
23648620,23649514,14020000
3906369,3906361,09312600
8188957,8188985,11143000
8111847,8111841,01518862
8295203,8295207,11473900
23630308,23630310,13340600
23736039,23736041,14139800
23736091,23736093,14138900
12105172,12105064,03182500
1919682,1919664,03237500
18156767,18156723,02472500
8449084,8448576,01639500
3247598,3247464,01350080
2277071,2277373,06885500
400540,400496,07197000
18464506,18464802,03357350
13324444,13324400,05414000
24264873,24264875,12186000
8520543,8520747,02015700
3539113,3539121,06876700
17688129,17688105,11162500
22274614,22274612,02408540
1748753,1748589,01415000
23838192,23838194,12041200
11937967,11937201,04043050
24274651,24274653,12167000
19735939,19736555,03500000
19735939,19736555,03500240
8401801,8401387,01486000
18260323,18260339,02231000
6364346,6365080,02215100
8151115,8151089,01552500
18154273,18154235,02472000
24432171,24432173,13023000
7518821,7518913,07066000
4682494,4683152,01557500
15085613,15085601,08013000
23773391,23773393,14158790
11688320,11687656,01583500
19751693,19752425,03473000
7171118,7171120,05131500
13624581,13624577,05408000
2678276,2677104,01022500
23588128,23588130,13337000
17532979,17532971,06408700
20026253,20026105,07226500
8933518,8933594,10343500
6200372,6200212,01365000
19761978,19761976,03488000
23735817,23735819,14137000
23970213,23970215,12145500
21609427,21609435,11264500
13399933,13399941,05393500
12502971,12502977,04127997
10655699,10655681,08202700
6383979,6383975,02216180
10646927,10646003,08198500
22152375,22152393,03456500
5481755,5481761,06431500
6711911,6711893,01057000
348427,348419,11299600
2900129,2900131,06746095
8546073,8547581,02027000
22592417,22592529,10259200
23850369,23850371,12025000
9841714,9841738,04213000
2965686,2965578,06188000
18094325,18094981,02479560
2805473,2804369,11180500
4506920,4507034,01644000
20476708,20476698,09512280
2663781,2665525,11468500
8125293,8125225,01542810
18450059,18450047,03368000
23850771,23851443,12025700
8743361,8744593,02051000
4148030,4147956,01435000
6844139,6843381,04063700
12034215,12034177,02152100
15613810,15613832,04196800
17034219,17034205,09352900
20876000,20874948,07184000
24538010,24538012,12114500
23880872,23880874,14305500
8336286,8329634,08025500
16808203,16808187,02298123
4198118,4199144,01532000
21166239,21166753,07145700
1238069,1238533,09035900
11339059,11339045,10244950
8994318,8994314,04122200
9754772,9754768,02137727
3133679,3132401,07315700
23785721,23785723,14187000
8145130,8144818,01549500
13881458,13881906,05593900
8233476,8232336,11528700
6335992,6335908,02212600
16131669,16133019,06440200
19736013,19736561,03504000
24282120,24282122,12082500
10161380,10161364,03291780
15550119,15550141,04221000
12900470,12900462,06224000
5781483,5780099,08158700
22165088,22165090,03439000
4710428,4710394,01567500
13771804,13771810,05592050
14269114,14269112,05057200
21014035,21014649,07149000
588176,588170,07335700
5892366,5892354,01613050
19334485,19334265,01052500
18208372,18208376,02465493
24287054,24287056,12054000
6105975,6105951,01187300
19376624,19376616,07373000
8628719,8628737,02053800
24243661,24242219,14216500
24356089,24356115,12381400
2580519,2580507,08101000
14882597,14882593,11253310
23886296,23886298,14306500
5802222,5802188,05495500
24013583,24013585,10396000
16807517,16807509,02297310
8935294,8935820,10348850
20179473,20179529,06447500
4994035,4994067,05489000
10510478,10511316,02082950
8479560,8479268,01669000
6269292,6267840,02178400
21028040,21028210,07148400
9251300,9251306,02111180
7817414,7817394,07261000
4599975,4599789,04296000
7016407,7016531,05458000
1722313,1722317,01031500
13781558,13783124,05595730
17864362,17864360,08269000
4725927,4725937,01580000
8942075,8941693,10336660
2613590,2613578,01423000
3192080,3192546,09223000
6886648,6886696,03165000
